Id,SalePrice
1461,115763.5686
1462,135189.6974
1463,183142.9538
1464,192911.6492
1465,222458.5212
1466,188899.7812
1467,166908.0587
1468,184268.88
1469,178649.6665
1470,127473.7312
1471,191849.7323
1472,95754.9366
1473,93638.57764
1474,158474.2524
1475,129537.1017
1476,471636.7307
1477,266482.4944
1478,322676.8092
1479,323380.2228
1480,472766.2322
1481,288752.2715
1482,216503.4975
1483,172950.8034
1484,180869.2846
1485,167398.7811
1486,201454.5577
1487,332952.0345
1488,253291.5422
1489,207912.054
1490,227237.8132
1491,194952.654
1492,102337.4375
1493,198755.5254
1494,289954.0647
1495,282859.3556
1496,234066.3944
1497,193129.1087
1498,155144.0221
1499,156635.1653
1500,148643.264
1501,162762.6258
1502,150481.3554
1503,295402.4336
1504,235676.0011
1505,214692.4903
1506,175454.4846
1507,237331.5777
1508,207496.5503
1509,151991.7151
1510,148001.7562
1511,149793.8658
1512,175323.0685
1513,141082.2294
1514,139166.861
1515,244384.3051
1516,159636.6232
1517,141740.0474
1518,149031.6019
1519,207568.2197
1520,132641.1204
1521,134352.474
1522,183094.7215
1523,99703.77934
1524,113028.2594
1525,110601.3062
1526,110456.4471
1527,112242.9475
1528,118112.2988
1529,148993.2338
1530,157606.9351
1531,95910.41584
1532,101134.7471
1533,144929.6499
1534,121967.2643
1535,165372.8175
1536,108634.3551
1537,106556.7808
1538,166040.3751
1539,206634.54
1540,126010.2631
1541,154584.4653
1542,134078.9515
1543,204622.2227
1544,80369.39458
1545,104920.5265
1546,137237.1524
1547,133799.851
1548,114965.151
1549,122021.2929
1550,150966.7291
1551,134433.1821
1552,153471.0866
1553,136187.5395
1554,113106.83
1555,165783.1359
1556,92580.45335
1557,107196.1071
1558,100767.6909
1559,94287.62652
1560,144059.9187
1561,124786.133
1562,118232.2387
1563,111239.9
1564,171213.5655
1565,149451.2622
1566,220368.3955
1567,93608.80617
1568,199489.394
1569,163196.1865
1570,134014.2801
1571,138971.9771
1572,138914.685
1573,247811.5923
1574,144313.0307
1575,202065.1259
1576,235084.1681
1577,215136.3353
1578,146457.6892
1579,143035.7053
1580,202353.7087
1581,128763.8453
1582,123822.3916
1583,319397.0892
1584,252309.7841
1585,143879.6969
1586,82127.15546
1587,105215.5027
1588,136516.2215
1589,110120.1733
1590,135412.752
1591,90757.01601
1592,139586.8958
1593,126952.0222
1594,109094.8526
1595,126300.9989
1596,216809.4707
1597,164323.2312
1598,185286.5062
1599,204871.915
1600,218824.4658
1601,57873.33993
1602,114532.5471
1603,74508.30091
1604,259950.0167
1605,265956.3236
1606,166744.0901
1607,191860.7616
1608,222239.539
1609,207448.6296
1610,158102.5934
1611,145559.5862
1612,196984.5502
1613,172184.7128
1614,133044.4692
1615,74315.8252
1616,74315.8252
1617,84337.97407
1618,118128.4836
1619,131917.5196
1620,196490.6057
1621,137531.7945
1622,137968.3098
1623,300299.3409
1624,214885.6816
1625,118010.9357
1626,171224.7844
1627,189345.2678
1628,278964.3658
1629,180334.8334
1630,347958.1076
1631,228887.9876
1632,253774.5999
1633,165529.1665
1634,188782.2167
1635,189883.0266
1636,171478.5623
1637,176581.084
1638,209588.109
1639,184511.0333
1640,233768.9939
1641,189276.9419
1642,210684.9429
1643,244435.2423
1644,232400.7853
1645,186848.3861
1646,161530.8
1647,168115.4664
1648,148988.7124
1649,121862.2622
1650,114600.9207
1651,121247.1637
1652,95754.9366
1653,97337.50344
1654,171481.6335
1655,164335.4195
1656,152472.7043
1657,164313.1023
1658,162227.0828
1659,126966.2158
1660,152388.4142
1661,361467.6652
1662,435773.92
1663,347920.3471
1664,439541.7712
1665,355312.9095
1666,345472.5032
1667,373347.3025
1668,353107.8769
1669,311021.9346
1670,372870.8088
1671,222608.301
1672,415510.8905
1673,346235.2495
1674,252905.4228
1675,180071.1246
1676,177392.2477
1677,200097.7807
1678,405798.5705
1679,354352.5629
1680,346253.0834
1681,308577.5669
1682,298089.8506
1683,187796.9638
1684,177907.5979
1685,185780.5819
1686,177265.5539
1687,163789.4182
1688,193218.057
1689,195653.2237
1690,192133.6763
1691,164805.6899
1692,296952.6184
1693,166324.6487
1694,183591.4638
1695,168508.0888
1696,264875.0994
1697,167702.9355
1698,363052.2455
1699,358664.0159
1700,240254.1321
1701,267601.3793
1702,283576.2743
1703,280893.1484
1704,269813.0613
1705,254933.7147
1706,434982.7956
1707,244320.426
1708,214460.9789
1709,267617.0085
1710,226036.1625
1711,289852.1965
1712,290176.1795
1713,255664.2605
1714,206076.4516
1715,193129.1087
1716,182175.211
1717,178481.3795
1718,144193.2854
1719,197396.4436
1720,243654.1947
1721,166399.3196
1722,139128.285
1723,158776.161
1724,245659.719
1725,234566.8722
1726,189052.5362
1727,178309.8393
1728,190899.8435
1729,152408.1048
1730,180571.7769
1731,124283.6711
1732,124849.3246
1733,111336.3644
1734,122742.5002
1735,133164.1779
1736,112424.6602
1737,304803.3984
1738,204033.1509
1739,281618.4577
1740,242050.4587
1741,187868.9437
1742,162762.6258
1743,170680.9881
1744,289663.0809
1745,216986.0903
1746,205098.5157
1747,239477.7342
1748,205381.3819
1749,156551.4098
1750,132927.6396
1751,215232.7496
1752,121059.443
1753,154140.8083
1754,201492.4759
1755,158996.6985
1756,125158.488
1757,109407.4727
1758,143361.0292
1759,158827.1976
1760,162660.6317
1761,156325.338
1762,176970.0267
1763,180741.2372
1764,120684.8874
1765,166236.5835
1766,172511.0551
1767,212104.8574
1768,133724.6951
1769,170524.6977
1770,136109.0976
1771,134530.1854
1772,131181.8212
1773,144299.4589
1774,139031.9753
1775,121886.8204
1776,120260.402
1777,97665.69321
1778,125810.9304
1779,123633.2883
1780,170522.5055
1781,127069.3485
1782,86832.12297
1783,145293.2961
1784,87538.29625
1785,119301.1902
1786,181048.3789
1787,170594.4689
1788,59558.87996
1789,120679.8236
1790,75574.80293
1791,195033.3127
1792,132177.1854
1793,152189.0196
1794,139688.3275
1795,123038.5764
1796,132743.9678
1797,127034.1746
1798,126139.909
1799,98989.84836
1800,122119.6733
1801,123000.2616
1802,155060.5822
1803,145003.8765
1804,130112.154
1805,139168.1168
1806,121315.4269
1807,143292.3675
1808,118383.6584
1809,123178.6538
1810,149246.8783
1811,104843.6665
1812,95091.26204
1813,108348.2347
1814,101646.4493
1815,72116.03636
1816,91390.72282
1817,135850.0178
1818,136453.7896
1819,120063.1623
1820,89406.25207
1821,123134.5184
1822,174349.9237
1823,49894.5374
1824,133110.2359
1825,139082.4706
1826,104665.1575
1827,110674.3532
1828,144645.8313
1829,124543.0154
1830,148010.8397
1831,146624.0167
1832,119642.1666
1833,127618.2063
1834,125266.872
1835,144214.4253
1836,134549.4171
1837,82084.58352
1838,115548.4743
1839,93417.25574
1840,159355.365
1841,129110.1181
1842,113150.2599
1843,139518.3033
1844,143668.4002
1845,134680.2006
1846,157357.0865
1847,179500.1313
1848,58150.14317
1849,113205.9226
1850,117921.3809
1851,149369.0293
